p,X,Y,Z,DOF 1,DOF 2,DOF 3,DOF 4,DOF 5,DOF 6
,m,m,m,,,,,,
5,-0.61,-0.1736,0.0998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,-0.61,-0.1736,-0.0502,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,0.2246,0.2453,0.0248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
