p,X,Y,Z,DOF 1,DOF 2,DOF 3,DOF 4,DOF 5,DOF 6
,m,m,m,,,,,,
5,-0.4244,0.0687,0.075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,-0.4244,0.0687,-0.075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,0.4102,0.4876,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
