,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 3 Displacement,DOF 4 Displacement,DOF 5 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 3 Force,DOF 4 Force,DOF 5 Force,DOF 6 Force
0,-0.1266,0.4565,0.0,2.668781634949652e-05,-6.219124274500475e-05,2.6933919140355555e-06,-1.3131940000732082e-05,1.599206232279704e-05,-4.45946059563014e-05,-5.4569682106375694e-12,-759.9999999999955,-2.7284841053187847e-12,-2.1316282072803006e-14,0.0,-2.2737367544323206e-13
1,0.3893,0.5501,0.0,2.0936164352394466e-06,6.70183407714741e-07,-5.228747526605872e-07,8.581353998772573e-06,8.625178257617512e-06,4.5424799390309865e-05,-39.392310118098976,6.9459271198138595,-1.0477378964424133e-09,-8.100187187665142e-13,-2.8421709430404007e-13,-1.7053025658242404e-13
2,0.4102,0.4876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.6168838331032,300.62872304284247,0.9379922595690005,0.1016568610673998,-0.30233017865751366,-7.18106791473436
3,0.0,0.0,0.0,1.240104492624462e-05,-4.6839689223559616e-05,1.4292772733147253e-06,-1.1823678247370295e-05,-1.0965234348812732e-05,3.5798475758867744e-06,-1.8189894035458565e-12,1.3642420526593924e-12,-4.547473508864641e-13,1.0658141036401503e-14,-3.907985046680551e-14,9.947598300641403e-14
4,-0.4244,0.0687,0.075,0.0,0.0,0.0,0.0,0.0,0.0,-44.224604462884884,228.18456594769123,-3.1067564025143675,-0.08483615086801727,0.061288220496423684,-0.4187722454761801
5,-0.4244,0.0687,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,-52.99996925535585,224.2407838898601,2.168764148049263,0.0803205905964125,0.11634598195826026,-0.436881239398896
6,-0.10080499999999999,0.46118000000000003,0.0,2.576518554567825e-05,-6.0740715829445854e-05,3.0891738941759287e-06,-1.109735481685294e-05,1.0393503614759889e-05,-7.621844551664332e-05,-1.8189894035458565e-12,-1.5006662579253316e-11,-2.2737367544323206e-12,-1.9539925233402755e-14,7.105427357601002e-15,-8.526512829121202e-14
7,-0.07501,0.46586,0.0,2.4703453283769884e-05,-5.852349615503348e-05,3.338353632256437e-06,-9.162655999700109e-06,5.345493801963733e-06,-0.00010403967351617405,9.094947017729282e-13,-1.9554136088117957e-11,-1.8189894035458565e-12,-4.773959005888173e-15,-2.4424906541753444e-15,-1.5143442055887135e-13
8,-0.049214999999999995,0.47054,0.0,2.3520415785876027e-05,-5.5637672086978846e-05,3.4556000052261217e-06,-7.327843549274329e-06,8.480328844099216e-07,-0.0001280582899548878,0.0,1.1823431123048067e-11,1.8189894035458565e-12,3.4416913763379853e-15,-7.638334409421077e-14,4.440892098500626e-15
9,-0.023419999999999996,0.47522000000000003,0.0,2.2233869274101284e-05,-5.2181331990493175e-05,3.455581890034043e-06,-5.592917465575785e-06,-3.098879137901356e-06,-0.0001482742948327888,-9.094947017729282e-13,6.821210263296962e-12,2.7284841053187847e-12,-6.217248937900877e-15,-2.842170943040401e-14,-1.1191048088221578e-13
10,0.002375000000000016,0.4799,0.0,2.0861609970550275e-05,-4.825256423078766e-05,3.35296816362927e-06,-3.957877748604465e-06,-6.495242264970075e-06,-0.00016468768814987495,1.8189894035458565e-12,4.547473508864641e-13,-4.547473508864641e-12,-1.1102230246251565e-16,-1.7763568394002505e-14,3.9968028886505635e-14
