,X,Y,Z,DOF 1 Displacement,DOF 2 Displacement,DOF 6 Displacement,DOF 1 Force,DOF 2 Force,DOF 6 Force
0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,3031.1210453920226,953.0605226960112
1,0.0,1.0,0.0,0.0,-1.71939477303989e-05,1.9654088050314464e-05,0.0,4.547473508864641e-13,1.1368683772161603e-13
2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,281.121045392022,-203.060522696011
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.7579092159559,0.0
4,-0.5,1.0,0.0,0.0,-1.7605097554926914e-05,-3.070444360817696e-05,0.0,-4000.000000000001,2.2737367544323206e-13
