p1,x1,y1,z1,p2,x2,y2,z2,numElem,E,nu,G,rho,t,Ri,Ro,A,Ix,Iy,Iz,J
,m,m,m,,m,m,m,,Pa,,Pa,kg/m^3,m,m,m,m^2,m^4,m^4,m^4,m^4
1,-0.1266,0.4565,0,2,0.3893,0.5501,0,20,1.2E+11,0.361,44100000000,4510,0.0007097,0.0134674,0.0141771,6.16359E-05,5.89179E-09,5.89179E-09,1.17836E-08,1.17836E-08
2,0.3893,0.5501,0,3,0.4102,0.4876,0,20,1.2E+11,0.361,44100000000,4510,0.002,0.017,0.019,0.000226195,3.67566E-08,3.67566E-08,7.35133E-08,7.35133E-08
3,0.4102,0.4876,0,4,0,0,0,20,1.2E+11,0.361,44100000000,4510,0.0007255,0.0178641,0.0185896,8.30862E-05,1.38068E-08,1.38068E-08,2.76137E-08,2.76137E-08
4,0,0,0,1,-0.1266,0.4565,0,20,1.2E+11,0.361,44100000000,4510,0.001,0.0136,0.0146,8.85929E-05,8.81765E-09,8.81765E-09,1.76353E-08,1.76353E-08
1,-0.1266,0.4565,0,5,-0.4244,0.0687,0.075,20,1.2E+11,0.361,44100000000,4510,0.0007184,0.00650994,0.00722834,3.10062E-05,7.33515E-10,7.33515E-10,1.46703E-09,1.46703E-09
1,-0.1266,0.4565,0,6,-0.4244,0.0687,-0.075,20,1.2E+11,0.361,44100000000,4510,0.0007184,0.00650994,0.00722834,3.10062E-05,7.33515E-10,7.33515E-10,1.46703E-09,1.46703E-09
4,0,0,0,5,-0.4244,0.0687,0.075,20,1.2E+11,0.361,44100000000,4510,0.0007173,0.008024575,0.008741875,3.77826E-05,1.33008E-09,1.33008E-09,2.66016E-09,2.66016E-09
4,0,0,0,6,-0.4244,0.0687,-0.075,20,1.2E+11,0.361,44100000000,4510,0.0007173,0.008024575,0.008741875,3.77826E-05,1.33008E-09,1.33008E-09,2.66016E-09,2.66016E-09
